Model,Outcome,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Train ROC AUC,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Test ROC AUC
gb,AST_1_vs_4,0.8758737045071101,0.1028079710144927,0.7418300653594772,0.1805887032617343,0.8101108583396526,0.8773198361050856,0.0796116504854368,0.5394736842105263,0.1387478849407783,0.7115487743419437
gb,AST_2_vs_4,0.6184622800674862,0.2030624913781211,0.7261963492846571,0.3173781802501078,0.6648347385794553,0.5885755603759942,0.165924276169265,0.5877712031558185,0.2587928788536691,0.5882293687388098
gb,AST_3_vs_4,0.7484333574355266,0.1847372810675563,0.7697654213727194,0.2979653606860602,0.7583045300453756,0.7204145577247529,0.1449511400651466,0.6180555555555556,0.2348284960422163,0.6730526418026418
lgbm,AST_1_vs_4,0.9792721137623523,0.3492063492063492,0.1437908496732026,0.2037037037037037,0.5693785433141949,0.9783080260303688,0.25,0.0921052631578947,0.1346153846153846,0.5434746792096863
lgbm,AST_2_vs_4,0.8781634128705712,0.8571428571428571,0.0029600394671928,0.0058997050147492,0.5014457002881987,0.8770788141720897,0.0,0.0,0.0,0.4995881383855025
lgbm,AST_3_vs_4,0.7654856591949868,0.1839981554069633,0.6933101650738488,0.2908163265306122,0.7320872612355322,0.739937334297421,0.1521547933157432,0.6006944444444444,0.2428070175438596,0.6755090973840974
lr,AST_1_vs_4,0.754880694143167,0.0572033898305084,0.7941176470588235,0.1067193675889328,0.7741306467338316,0.7601831766690769,0.0543161978661493,0.7368421052631579,0.101174345076784,0.7487304069158903
lr,AST_2_vs_4,0.4783080260303687,0.1669512807634354,0.8199309324124322,0.2774161241862794,0.6253543055225728,0.4772234273318872,0.1624695369618196,0.7889546351084813,0.2694509936005388,0.6113911011896058
lr,AST_3_vs_4,0.636117136659436,0.1365258774538965,0.7975673327541268,0.2331428571428571,0.7108263986528809,0.6252108941913714,0.1314717859220477,0.7847222222222222,0.2252117588440458,0.6990174177674178
rf,AST_1_vs_4,0.8797300554350446,0.1155595996360327,0.8300653594771242,0.2028753993610223,0.8553641714512693,0.8804531212340323,0.0866141732283464,0.5789473684210527,0.1506849315068493,0.7325132128135217
rf,AST_2_vs_4,0.5830320559170885,0.2021911138161899,0.8194375925012334,0.3243507127514158,0.6847891511136821,0.5389250421788383,0.1577409931840311,0.6390532544378699,0.2530261616556032,0.5820197628586934
rf,AST_3_vs_4,0.8941311159315498,0.3942777390090718,0.9817549956559514,0.5626089121234752,0.9346780805408278,0.8122439141961919,0.1832258064516129,0.4930555555555556,0.2671683913452493,0.6645541958041958
xgb,AST_1_vs_4,0.8684020245842372,0.0899563318777292,0.673202614379085,0.1587057010785824,0.7726356841078974,0.8746685948421307,0.0919117647058823,0.6578947368421053,0.1612903225806451,0.7683041079251037
xgb,AST_2_vs_4,0.6118341769100988,0.1952229739058401,0.6975826344351258,0.3050701186623517,0.6487432699940061,0.5933959990359122,0.166289592760181,0.5798816568047337,0.2584615384615384,0.5875794884792476
xgb,AST_3_vs_4,0.7502410219329959,0.1797175866495507,0.7298001737619462,0.2884120171673819,0.740782249393113,0.7288503253796096,0.150375939849624,0.625,0.2424242424242424,0.6807983682983683
