From,To
DelinquentPeer,Is_Male
DelinquentPeer,PolygenicScoreEXT_x_Age
DelinquentPeer,SchoolConnect
DelinquentPeer,NeighborConnect
DelinquentPeer,Age
DelinquentPeer,ParentalWarmth
DelinquentPeer,AntisocialTrajectory
DelinquentPeer,SubstanceUseTrajectory
DelinquentPeer,PolygenicScoreEXT
DelinquentPeer,PolygenicScoreEXT_x_Is_Male
Is_Male,Age
Is_Male,ParentalWarmth
Is_Male,SchoolConnect
Is_Male,PolygenicScoreEXT_x_Age
Is_Male,AntisocialTrajectory
Is_Male,PolygenicScoreEXT
Is_Male,SubstanceUseTrajectory
Is_Male,PolygenicScoreEXT_x_Is_Male
Is_Male,NeighborConnect
PolygenicScoreEXT,PolygenicScoreEXT_x_Is_Male
PolygenicScoreEXT,AntisocialTrajectory
PolygenicScoreEXT,SchoolConnect
PolygenicScoreEXT,NeighborConnect
PolygenicScoreEXT,PolygenicScoreEXT_x_Age
PolygenicScoreEXT,ParentalWarmth
PolygenicScoreEXT,Age
PolygenicScoreEXT,SubstanceUseTrajectory
PolygenicScoreEXT_x_Is_Male,SubstanceUseTrajectory
PolygenicScoreEXT_x_Is_Male,NeighborConnect
PolygenicScoreEXT_x_Is_Male,PolygenicScoreEXT_x_Age
PolygenicScoreEXT_x_Is_Male,AntisocialTrajectory
PolygenicScoreEXT_x_Is_Male,Age
PolygenicScoreEXT_x_Is_Male,ParentalWarmth
PolygenicScoreEXT_x_Is_Male,SchoolConnect
NeighborConnect,PolygenicScoreEXT_x_Age
NeighborConnect,ParentalWarmth
NeighborConnect,Age
NeighborConnect,SubstanceUseTrajectory
NeighborConnect,SchoolConnect
NeighborConnect,AntisocialTrajectory
PolygenicScoreEXT_x_Age,SubstanceUseTrajectory
PolygenicScoreEXT_x_Age,Age
PolygenicScoreEXT_x_Age,ParentalWarmth
PolygenicScoreEXT_x_Age,SchoolConnect
PolygenicScoreEXT_x_Age,AntisocialTrajectory
SchoolConnect,Age
SchoolConnect,AntisocialTrajectory
SchoolConnect,ParentalWarmth
SchoolConnect,SubstanceUseTrajectory
Age,ParentalWarmth
Age,SubstanceUseTrajectory
Age,AntisocialTrajectory
ParentalWarmth,SubstanceUseTrajectory
ParentalWarmth,AntisocialTrajectory
SubstanceUseTrajectory,AntisocialTrajectory
