type,interaction,Model,Target,Accuracy,Custom_Metric,Matthews Correlation Coefficient,2.0_Precision,2.0_Recall,2.0_F1-Score,4.0_Precision,4.0_Recall,4.0_F1-Score,macro avg_Precision,macro avg_Recall,macro avg_F1-Score,weighted avg_Precision,weighted avg_Recall,weighted avg_F1-Score
validation_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.7130068457082676,0.5447267585233124,0.19267394358490722,0.23550724637681159,0.5138339920948617,0.3229813664596273,0.9086859688195991,0.7436208991494532,0.8179084530571333,0.5720966075982054,0.6287274456221574,0.5704449097583804,0.8189997040602387,0.7130068457082676,0.7519702998664177
test_metrics,PolygenicScoreEXT_x_DelinquentPeer,random_forest,AST,0.22105263157894736,0.2982821437793288,0.049182699952974036,0.13890523837551502,0.932806324110672,0.24180327868852458,0.9154228855721394,0.11171827565270188,0.1991341991341991,0.5271640619738271,0.5222622998816869,0.22046873891136184,0.8120234304454309,0.22105263157894736,0.20481592393801193
validation_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.7103738809899948,0.5436392018268721,0.19219239717080905,0.23434704830053668,0.5177865612648221,0.3226600985221675,0.908955223880597,0.7399756986634265,0.8158070997990623,0.5716511360905668,0.6288811299641244,0.5692335991606149,0.8190785159175873,0.7103738809899948,0.7501061038416877
test_metrics,PolygenicScoreEXT_x_SchoolConnect,random_forest,AST,0.2573684210526316,0.30501012716210196,0.030564113821754016,0.1376720901126408,0.8695652173913043,0.23770934629929769,0.890728476821192,0.16332726168791742,0.27603899435608004,0.5142002834669164,0.5164462395396109,0.2568741703276889,0.7904530737489481,0.2573684210526316,0.2709350991148348
validation_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.7098472880463402,0.5380208146715898,0.18012570595957267,0.2290909090909091,0.4980237154150198,0.3138231631382316,0.9058561897702001,0.7424058323207776,0.8160267111853087,0.5674735494305546,0.6202147738678987,0.5649249371617702,0.8156920949772246,0.7098472880463402,0.749119129481301
test_metrics,PolygenicScoreEXT_x_NeighborConnect,random_forest,AST,0.21578947368421053,0.283316219529398,0.02021510815475232,0.13553329404832057,0.9090909090909091,0.2358974358974359,0.8866995073891626,0.1092896174863388,0.19459459459459458,0.5111164007187415,0.5091902632886239,0.21524601524601522,0.7866757958232505,0.21578947368421053,0.20009439398913084
validation_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.7145866245392312,0.5480756420033842,0.19893846123013406,0.23869801084990958,0.5217391304347826,0.32754342431761785,0.9101040118870728,0.744228432563791,0.8188502673796791,0.5744010113684912,0.6329837814992868,0.5731968458486485,0.8206539232812791,0.7145866245392312,0.7533944320480827
test_metrics,PolygenicScoreEXT_x_ParentalWarmth,random_forest,AST,0.2336842105263158,0.29481059055580183,0.0294889650053943,0.13699456849728425,0.8972332015810277,0.23769633507853402,0.8930041152263375,0.13175470552519733,0.22962962962962966,0.5149993418618108,0.5144939535531126,0.23366298235408184,0.7923354755829425,0.2336842105263158,0.23070377514466797
validation_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,random_forest,AST,0.7114270668773038,0.5496434628397482,0.20472564453756809,0.23985890652557318,0.5375494071146245,0.3317073170731707,0.9121621621621622,0.7381530984204131,0.8159838817998657,0.5760105343438677,0.6378512527675189,0.5738455994365181,0.8225925341073664,0.7114270668773038,0.7514646764939922
test_metrics,PolygenicScoreEXT_x_SubstanceUseTrajectory,random_forest,AST,0.21789473684210525,0.2852843758979233,0.02269073032152572,0.13585351447135263,0.9090909090909091,0.23638232271325796,0.8888888888888888,0.11171827565270188,0.19848975188781012,0.5123712016801207,0.5104045923718055,0.21743603730053404,0.7886162837690801,0.21789473684210525,0.20353544684509345
